early-spring-2020-update	Early Spring 2020 Update	2020-02-11
astra-summer-2021-update	Astra Summer 2021 Update	2021-10-27
winter-2020-update	Winter 2020 Update	2021-01-08
a-brief-ku-solar-car-history-update	A Brief KU Solar Car History Update	2020-04-20
summer-2020-recap	Summer 2020 Recap	2020-10-08
mid-fall-2020-semester-update	Mid-Fall 2020 Semester Update	2020-10-31
spring-2019-electrical-review-updates	Spring 2019 Electrical Review & Updates	2019-04-07
thank-you-launch-ku-2019	Thank You - Launch KU 2019	2019-12-04
introducing-the-2019-executive-board	Introducing the 2018-19 Executive Board	2019-03-08
fall-midterm-2019-update	Fall Midterm 2019 Update	2019-10-18
2019-executive-letter	2019 Executive Review Letter	2019-05-24
fall-2021-semester-update	Astra Fall 2021 Update	2021-12-02
spring-break-2020-update	Spring Break 2020 Update	2020-03-19
engineering-expo-and-mechanical-team-progress-update-february-2019	Engineering Expo and Mechanical Team Progress Update - February 2019	2019-03-01
astra-beginning-of-the-year-update-2021	Astra Beginning of the Year Update 2021	2021-03-09
the-ief-solar-car-conference	The IEF Solar Car Conference	2019-02-18
launchku-2019	LaunchKU 2019	2019-10-28
end-of-spring-2019-semester-update	End of Spring 2019 Semester Update	2019-06-04
beginning-of-fall-semester-2019-blog	Beginning of Fall Semester 2019 Update	2019-09-15
welcome-to-the-official-blog-of-the-ku-solar-car-team	Welcome to the official blog of the KU Solar Car Team!	2018-11-20
end-of-fall-2019-semester-update	End of Fall 2019 Semester Update	2019-12-06
a-more-extensive-look-at-astra-s-design	A More Extensive Look at Astra’s Design	2020-05-10
a-letter-on-covid-19-and-our-current-status	A letter on COVID-19 and our current status	2020-03-31
astra-may-update	Astra Spring 2021 Update	2021-05-02
2019-spring-break-update-and-news	2019 Spring Break News and Updates	2019-03-21
winter-update	Winter Update	2020-01-06
